Bechmark;Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_2170_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 2170;37;124;0.9;4.31;0.64;2.85;0.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_2170_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 2170;36;127;0.8;4.32;0.63;2.82;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_54_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 54;2957;0;16.4;2.31;0.29;2.11;16.3
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1369_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1369;2830;0;15.7;3.00;0.60;1.76;15.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_545_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 545;5476;0;30.4;2.18;0.56;0.88;30.0
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_3440_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 3440;37;127;0.8;5.52;0.82;3.92;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_545_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 545;5468;0;30.4;2.14;0.55;0.88;30.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_4330_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 4330;37;125;0.8;7.32;0.82;4.47;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_433_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 433;6190;0;34.3;2.14;0.29;0.76;34.0
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_864_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 864;4258;0;23.6;2.55;0.62;1.15;23.3
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_21_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 21;3007;0;16.7;2.22;0.28;2.03;16.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_27_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 27;3007;0;16.6;2.23;0.27;2.03;16.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_86_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 86;8335;0;46.4;2.25;0.20;0.53;46.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1369_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 1369;2832;0;15.6;3.16;0.57;1.77;15.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_5452_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 5452;37;125;0.7;10.68;0.85;7.68;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1724_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 1724;2384;0;13.2;3.60;0.70;2.06;13.1
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_172_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 172;8932;0;49.6;2.35;0.29;0.53;49.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_686_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 686;4794;0;26.6;2.30;0.61;1.07;26.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1087_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 1087;3437;0;19.1;3.03;0.63;1.41;19.0
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_344_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 344;6836;0;38.0;2.46;0.30;0.69;37.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_172_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 172;9009;0;50.0;2.32;0.35;0.53;49.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_686_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 686;4939;0;27.4;2.18;0.62;1.00;27.2
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_108_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 108;5622;0;31.2;2.25;0.20;0.74;31.1
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_433_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 433;6158;0;34.2;2.15;0.29;0.76;34.1
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_21_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 21;3088;0;17.1;2.21;0.29;2.02;16.9
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1724_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1724;2353;0;13.1;3.60;0.68;2.10;12.9
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_17_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 17;3048;0;16.8;2.22;0.29;2.02;16.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_86_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 86;7967;0;44.3;2.27;0.17;0.54;43.8
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_273_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 273;7204;0;40.1;2.40;0.40;0.64;39.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_10878_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 10878;44;85;0.6;22.50;1.80;14.73;0.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_43_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 43;3006;0;16.6;2.30;0.29;2.08;16.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_17_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 17;3048;0;16.9;2.20;0.18;2.01;16.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_864_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 864;4184;0;23.2;2.45;0.67;1.18;22.9
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_8641_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 8641;38;86;0.7;11.20;1.33;8.29;0.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_68_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 68;2884;0;15.9;2.36;0.31;2.15;15.7
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_108_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 108;5220;0;29.0;2.29;0.21;0.80;28.8
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_6863_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 6863;37;95;0.7;12.06;1.01;8.01;0.5
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_2732_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 2732;35;125;0.8;4.74;0.66;3.07;0.6
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_43_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 43;3006;0;16.5;2.29;0.28;2.08;16.4
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_1087_orgs_2_peers_2_orderers_3_thr_2920_del_74_jit_39_pl_3.yaml.html;Policy Gateway 1087;3461;0;19.2;2.88;0.60;1.39;19.1
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_136_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 136;4667;0;25.9;2.28;0.32;0.95;25.8
../launcher/results/exp_2_concurrent_apps/vm_16_chunklen_8641_orgs_2_peers_2_orderers_3.yaml.html;Policy Gateway 8641;37;124;0.7;15.27;1.27;10.69;0.6
